 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73
497	864.089	1077.018	1135.786	787.054	3059.604	751.165	2570.749	915.693	564.028	496.749	550.875	1798.598	1151.077	701.005	652.831	462.444	539.795	730.090	560.635	447.088	690.609	810.545	755.807	1153.179	890.556	818.709	922.440	799.543	1331.527	1926.578	999.660	814.545	900.785	1182.966	2197.626	1487.833	1153.823	721.699	855.061	1233.342	898.764	952.203	1183.610	1324.536	883.057	900.862	1141.689	1123.505	847.058	975.682	934.156	1521.181	948.459	910.647	754.870	717.885	890.950	1392.873	812.471	1019.103	770.255	705.458	629.742	473.912	924.147	836.409	868.915	1221.014	731.612	823.791	1292.529	943.874	988.036
498	849.166	999.097	1118.145	805.253	3060.042	759.398	2474.702	833.444	507.883	474.677	538.154	1763.741	1097.721	670.644	637.103	457.722	535.046	731.869	540.569	423.423	692.684	821.863	736.238	1123.843	882.751	808.411	924.236	793.100	1294.521	1955.984	948.960	792.881	859.141	1181.064	2089.065	1352.126	1122.651	706.852	820.426	1189.877	894.655	926.500	1156.447	1242.783	841.572	885.778	1089.005	1091.839	834.404	967.323	926.549	1474.023	915.050	888.905	731.118	719.927	860.715	1333.638	796.123	1010.202	731.140	714.183	618.386	487.466	937.589	833.486	867.631	1146.696	740.194	784.780	1260.779	911.143	988.596
499	827.605	994.009	1092.191	775.543	3072.057	739.659	2310.339	816.635	502.710	483.467	541.397	1716.943	1076.973	661.663	656.549	472.460	568.662	729.563	541.872	424.722	674.580	820.256	707.798	1096.814	869.839	842.914	914.236	777.973	1287.485	1964.016	930.195	789.402	875.687	1186.281	2011.922	1215.041	1128.126	708.040	830.899	1150.407	917.828	934.477	1131.269	1190.087	852.273	889.741	1089.526	1075.297	813.893	960.497	915.069	1352.421	898.210	878	721.828	681.861	859.250	1286.655	774.642	973.227	733.293	672.158	600.538	476.207	974.847	832.729	849.438	1073.682	716.836	793.298	1261.945	912.604	980.569
500	827.981	967.274	1098.555	777.683	3075.604	762.432	2151.965	795.630	477.579	493.569	540.471	1744.759	1075.699	653.587	645.846	456.722	544.907	759.452	535.569	439.077	675.731	817.289	731.637	1121.171	850.790	884.609	906.747	795.909	1265.982	1929.854	913.600	796.524	837.509	1203.276	1914.074	1102.927	1070.566	689.301	853.635	1119.080	933.606	944.445	1168.004	1196.816	849.165	884.376	1134.610	1096.870	812.480	978.144	932.076	1166.144	904.166	878.774	726.556	693.855	860.910	1258.026	747.588	967.305	723.134	665.917	593.477	471.072	916.540	797.381	953.591	1042.574	727.927	809.937	1283.765	950.713	983.511
501	809.490	938.407	1081.890	775.077	3075.589	782.216	1990.842	791.233	469.655	489.862	533.787	1756.230	1079.393	648.139	676.841	470.754	531.881	753.261	541.365	460.974	694.462	829.379	740.659	1172.129	867.532	1060.503	942.137	832.215	1267.635	1903	914.875	799.769	860.110	1184.562	1873.796	1077.272	1088.160	705.170	871.230	1094.422	955.049	958.328	1200.966	1234.029	857.108	927.651	1214.332	1111.542	816.280	982.667	925.811	1053.144	900.017	879.332	745.633	700.461	855.245	1286.384	756.206	981.089	710.127	674.783	603.909	487.606	974.908	798.464	1181.892	1023.237	720.879	803.754	1281.967	996.913	1014.249
502	872.554	993.929	1198.590	1143.090	3087.453	825.898	1931.222	847.868	482.883	528.635	589.985	1846.046	1135.049	691.274	714.256	520.405	588.861	806.809	629.194	496.727	730.646	924.536	792.292	1217.679	932.078	1050.828	974.747	924.858	1323.323	1906.384	1036.665	894.423	968.988	1256.941	2957.817	1157.927	1277.886	798.290	961.743	1256.288	1004.670	1047.445	1310.496	1321.541	944.593	1024.704	1333.958	1183.104	877.449	1039.744	994.738	1077.481	949.392	924.674	806.544	740.891	925.455	1379.293	856.211	1065.995	777.299	738.658	634.856	526.116	1068.994	894.580	1208.534	1082.547	798.758	825.728	1302.879	1078.035	1054.347
503	1001.554	1297.434	1616.538	2265.032	3077.719	945.330	1926.053	931.587	527.462	561.467	638.368	2027.029	1274.361	778.933	802.585	549.960	599.762	826.593	668.659	565.613	797.193	959.199	855.695	1280.600	1049.161	1039.477	1081.115	1007.027	1459.210	2103.800	1207.090	1016.021	1126.859	1330.330	3604.987	1307.244	1435.017	1042.250	1126.736	1427.439	1138.931	1188.859	1442.212	1495.073	1014.716	1097.598	1389.921	1306.547	996.440	1192.446	1132.215	1235.565	1076.547	1108.900	1011.775	826.521	990.955	1597.240	1003.025	1275.133	936.159	848.742	711.356	581.936	1155.166	1004.669	1281.932	1475.764	854.721	924.068	1354.143	1212.191	1160.160
504	1013.414	1367.310	1605.353	2275.860	3015.109	904.278	1834.672	937.122	516.572	567.659	633.228	2051.494	1243.989	820.361	782.538	546.016	564.119	804.543	687.607	609.433	787.976	959.137	814.314	1236.979	1037.585	982.212	1035.088	977.566	1526.401	2044.778	1220.110	1016.182	1064.914	1256.655	3632.826	1222.394	1402.971	1096.761	1057.027	1360.880	1140.246	1161	1359.508	1479.715	972.892	1100.175	1338.853	1260.036	966.760	1134.923	1138.484	1138.398	1053.878	1073.211	1004.107	818.733	951.715	1502.502	939.275	1253.911	931.554	804.100	702.667	549.789	1104.399	971.431	1194.722	1418.318	851.818	918.236	1347.298	1193.091	1144.280
505	961.943	1344.557	1547.081	2301.828	2925.812	870.898	1700.246	978.069	491.159	538.934	596.735	1942.356	1182.093	776.707	764.169	517.405	509.980	767.693	656.867	593.835	734.693	905.076	801.197	1180.821	980.151	899.232	991.588	965.557	1476.677	1961.876	1170.115	936.122	1021.558	1193.025	3550.757	1078.972	1272.869	1032.517	973.419	1276.077	1076.906	1057.156	1252.549	1418.913	942.979	1042.021	1262.037	1187.469	892.804	1147.877	1121.545	1096.986	1044.707	1032.621	1039.367	828.485	946.460	1396.188	879.015	1303.360	914.013	794.483	683.401	532.964	1030.485	913.751	1103.938	1346.757	803.176	882.806	1305.452	1108.930	1083.982
506	922.484	1265.920	1443.971	2336.136	2827.375	839.614	1560.678	1032.153	482.786	536.533	602.603	1909.655	1136.623	764.639	747.990	517.651	459.219	743.754	648.009	594.407	707.061	871.142	774.937	1154.157	934.941	833.662	968.956	899.119	1370.587	1833.497	1068.215	920.465	940.748	1121.414	3475.822	997.602	1185.051	947.472	915.939	1180.738	1037.483	998.320	1176.254	1307.633	903.644	1002.931	1212.416	1133.135	832.444	1103.210	1089.436	1000.245	1008.602	948.916	995.675	799.164	893.365	1356.625	832.569	1242.207	880.618	760.025	652.659	513.888	922.804	835.459	996.256	1240.676	783.036	823.356	1273.132	1070.939	1034.564
