 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62
2123	893.545	1025.735	932.805	2289.932	841.846	1060.312	691.077	425.840	687.636	424.909	761.071	720.564	465.360	643.346	1899.878	1989.800	1281.688	1273.794	801.120	1020.644	1359.118	1286.356	919.727	3171.933	2620.784	1200.282	959.893	919.741	596.371	977.000	815.294	1065.742	999.531	781.872	940.659	1068.619	1091.872	1244.357	1081.842	1383.618	1036.919	1334.649	1068.188	911.808	1253.500	725.375	802.762	987.905	1327.029	882.250	864.269	1045.647	970.750	880.216	840.167	831.523	868.059	986.378	817.067	755.219	1079.906	553.017
2124	886.682	1064.853	969.390	2136.568	886.731	1082.438	687.462	432.040	725.061	430.394	786.286	747.692	504.240	659.692	1934.195	2046.057	1316.219	1283.118	972.780	1033.111	1336.647	1230.200	947.303	3085.756	2767.973	1200.795	989.750	940.741	619.743	965.156	838.882	1069.774	973.281	784.231	942.250	1106.881	1093.538	1272.286	1086.368	1388.327	1022.973	1338.243	1088.938	932.962	1200.885	758.406	777.333	1098.952	1351.235	881.404	877.769	1047.608	972.750	935.703	834.833	823.409	845.941	1008.432	820.367	767.562	1108.688	593.617
2125	963.727	1111.647	1036.146	2078.455	972.192	1372.281	766.590	840.040	796.061	493.818	825.738	824.256	526.640	699.692	2054.317	2054.629	1446.219	1382.177	2120.240	1143.822	1367.706	1203.644	1027.758	3030.089	2804.162	1311.333	1004.786	974.148	658.971	1035.688	908.824	1191.000	1043.969	886.103	1008.023	1191.310	1187.692	1355.000	1100.737	1455.327	1092.081	1351.459	1179.438	962.808	1267.423	789.219	872.714	1109.857	1438.794	909.712	954.385	1129.941	1022.969	977.730	893.286	858.545	933.000	997.108	915.567	919.656	1204.031	630.533
2126	1096.273	1053.323	1015.707	2281.886	919.462	1392.438	731.795	1175.320	800.061	544.242	763.286	843.487	519.760	864.269	2020.244	2037.886	1489.969	1363.706	2356.720	1123.222	1300.382	1131.444	1015.455	2830.711	2609.622	1253.641	980.607	944.296	625.314	1000.219	886.618	1190.968	1021.031	872.308	968.750	1180.238	1217.718	1271.536	1090.316	1409.309	1018.081	1206.838	1144.938	920.808	1221.731	764.938	825.714	1078.524	1431.559	861.385	929.423	1077.588	981.594	928.027	856.500	817.591	920.765	944.000	906.967	896.156	1226.531	622.417
2127	1004.341	989.441	915.805	2556.886	804.462	1248.531	645.000	1073.000	763.273	582.273	698.429	746.718	475.640	848.231	1825.293	1966.543	1396.719	1271.588	2105.080	1027.089	1164.294	984.733	947.182	2708.578	2412.027	1179.462	975.393	915.185	598.543	948.656	804.559	1091.581	941.250	800.385	915.227	1057.071	1142.077	1175.750	970.579	1244.709	925.216	1061.378	1036.000	861.615	1162.885	709.312	785.857	986.667	1385.823	786.596	936.000	1016.980	935.281	824.757	856.429	761.068	842.088	885.000	816.233	770.469	1092.719	563.900
2128	948.295	960.059	870.854	2852.205	803.692	1328.719	656.180	1039.720	947.091	667.758	710.976	773.667	469.520	1004.212	1844.073	1754.514	1244.531	1401.794	2296.520	1028.156	1206.088	939.089	882.303	2384.600	2179.513	1309.718	941.393	858.593	568.229	901.344	799.471	1194.581	884.469	763.359	891.932	1087.262	1125.256	1140.286	929.895	1186.891	906.270	1012.838	1119.562	800.077	1083.115	716.188	728.286	902.810	1193.618	770.923	944.346	1011.255	884.781	763.973	877.786	732.591	836.765	906.162	814.167	722.531	1071.594	520.950
2129	880.205	942.941	852.610	3100.250	760.000	1267.125	600.538	910.920	897.758	682.576	670.810	751.051	447.080	1037.615	1762.415	1747.714	1185.781	1317.647	2116.380	992.689	1146.794	865.733	843.758	2274.578	2065.838	1224.744	923.571	877.704	539.029	885.375	767.559	1111.581	844.094	704.205	859.523	1035.429	1063.897	1135.821	883.053	1121.418	832.297	964.622	1007.438	780.231	1080.154	704.000	708.333	851.667	1181.471	722.942	937.385	951.961	871.312	713.054	1061.143	689.364	820.765	847.703	788.400	690.562	985.188	498.417
2130	833.136	896.353	835.585	3103.182	726.308	1250.594	580.923	738.040	874.636	582.788	630.738	715.436	451.040	948.538	1685.805	1671.514	1119.875	1329.853	1958.360	937.311	1095.147	822.267	829.091	2188.378	1858.676	1278.077	921.571	839.407	534.800	870.750	727.500	1158.129	813.688	698.846	841.568	1015.690	1046.359	1064.679	855.368	1052.545	806.216	936.135	1017.125	747.000	1052.808	660.156	685.905	836.095	1135.618	709.327	921.769	916.804	844.594	694.027	1260.167	671.341	794.471	876.135	764.367	659.125	964.844	472.400
2131	804.114	885.088	810.317	3217.364	713.019	1192.562	561.846	635.160	810.455	540.485	599.833	682.436	502.320	837.154	1663.634	1657.886	1118.250	1388.677	1772.960	958.956	1069.471	792.756	812.303	2084.355	1781.378	1210.974	892.286	821.963	513.057	888.594	725.706	1089.774	815.062	681.641	829.682	977.429	1011.282	1060.893	864.895	1051.236	760.027	834.351	1015.062	734.346	1030.654	657.750	676.524	826.952	1149.118	693.808	897.654	892.627	818.469	676.595	1535.048	668.273	773.382	842.270	812.867	640.375	928.719	443.317
2132	824.045	852.324	793.000	3076.864	721.135	1115.344	581.718	560.960	908.061	499.333	621.000	725.077	778.960	834.577	1593.561	1521.829	1067.438	1442.323	1719.780	967.533	1170.618	812.222	798.485	2016.822	1723.108	1412.590	899.714	825.815	526.286	864.969	714.088	1161.226	831.969	707.769	903.477	1024.714	1031.564	1101.679	849.474	1261.182	810.730	846.324	1045.188	732.500	982.462	637.625	651.333	811.048	1064.647	707.827	854.654	857.882	803.312	666.892	1383.524	622.795	759.647	897.000	819.367	659.938	939.188	448.950
2133	850.341	984.206	853.293	3330.250	729.596	1143.938	581.256	515.720	854.455	547.727	615.643	732.897	870.680	893.538	1680.146	1638.914	1110.844	1409.118	1596.660	992.111	1349.118	807.444	827.121	2335.978	1778.919	1311.179	875.929	829.778	537.743	905.375	755.971	1220.677	874.938	777.410	983.909	1087.048	1095.256	1224.857	952.947	1717.400	1001.189	878.622	1041.688	794.808	1021.423	701.094	755.476	900.524	1162.382	756.481	906.231	925.980	870.469	706.730	1261.095	675.705	792.882	875.000	806.100	704.312	972.656	476.433
2134	857.886	976.647	855.317	3364.091	742.115	1126.719	586.795	499.000	894.364	562.212	623.500	775.820	821.080	901.231	1697.171	1634.114	1099.844	1476.088	1536.960	1075.578	1438.265	794.511	856.545	2385.600	1755.784	1422.538	926.714	835.333	541.057	949.094	758.059	1255.742	896.469	883.385	1054.159	1077.857	1064.487	1189.036	959.474	1751.636	1198.649	894.703	1068.812	747.577	1051.038	782.469	722.571	894.095	1170.706	752.885	969.808	918.294	852.094	701.811	1223.452	695.409	799.941	932.162	812.167	699.250	974.406	458.600
2135	848.659	978.529	852.854	3464.864	729.481	1057.500	578.487	456.280	835.970	548.606	600.310	759.205	835.240	808.442	1656.781	1645.543	1066.062	1394.265	1380.860	1004.689	1385.500	781.756	850.364	2336.600	1717.892	1365.103	905.643	838.482	534.200	948.719	725.765	1215.355	888.312	940.282	1089.614	1047.500	1040.128	1131.929	1002.895	1663.418	1260.919	864.000	1060.000	745.269	1041.692	763.594	703.952	914.857	1175.265	763.077	1028.192	893.686	851.938	708.432	1114.452	673.568	787.471	894.270	810.633	673.188	972.156	464.967
2136	805.591	938.853	807.659	3519.318	728.077	1018.969	563.564	413.840	810.970	608.667	594.476	718.820	781.920	765.346	1608.073	1725.771	1068.250	1367.206	1225.860	1001.111	1330.265	759.911	835.273	2304.200	1590.108	1251.923	963.357	837.741	553.829	927.906	775.853	1212.258	869.812	920.744	1072.977	1052.190	1051.385	1142.750	1074.053	1717.709	1215.649	849.270	1052.188	731.577	1050.115	722.625	721.143	1083.190	1188.088	738.885	1058.885	890.882	855.844	677.243	1036.190	648.727	816.118	878.784	776.900	675.062	958.656	446.867
2137	786.818	913.912	790.366	3472.341	735.481	975.156	573.564	407.720	773.030	583.091	557.310	664.077	695.440	699.846	1566.976	1748.486	1074.312	1316.853	1071.120	944.844	1234.441	746.511	772.576	2200.333	1475.378	1221.846	932.964	857.185	530.200	851.406	745.176	1189.129	856.000	886.538	1070.750	1045.238	1045.795	1142.821	1186.105	1820.309	1159.297	850.865	958.125	723.346	1036.192	699.344	679.714	1322.190	1193.235	735.673	999.500	863.529	824.750	642.973	1010.976	643.841	821.059	867.216	784.400	678.000	956.844	446.600
2138	752.750	902.882	805.585	3470.614	741.865	976.938	555.410	375.720	758.455	546.788	554.476	647.180	657.760	663.846	1531.463	1746.143	1038.281	1351.882	979.980	924.778	1198.500	735.422	802.182	2088.533	1401.432	1188.513	896.429	820.370	516.229	846.719	742.088	1159.387	862.875	876.641	1045.455	1037.310	1055.026	1141.500	1257.368	1868.673	1068.054	854.649	966.125	696.269	1000.538	682.156	670.429	1275.905	1219.912	711.981	1046.308	846.176	811.156	675.487	962.595	643.591	811.353	834.000	781.600	647.812	932.688	434.083
2139	780.909	890.529	797.341	3487.568	746.288	1057.688	564.436	376.560	760.061	515.091	555.095	628.180	631.800	628.135	1572.122	1801.000	1079.781	1325.412	934.940	950.800	1288.853	761.156	785.424	1990.311	1410.919	1186.641	892.786	827.296	530.829	886.844	783.706	1204.290	857.719	885.385	1034.500	1059.262	1060.256	1116.500	1270.632	1956.309	1072.270	847.405	965.125	698.269	1056.577	689.781	692.619	1466.857	1264.618	738.981	1062.654	858.412	837.094	657.027	900.214	672.114	821.147	856.459	831.467	651.469	928.594	438.167
2140	856.795	954.324	827.366	3487.386	903.115	1096.219	603.436	384.400	833.727	599.636	626.024	725.282	615.360	701.635	1687.463	1918.257	1154.125	1352.412	998.280	1049.644	1664.735	825.111	1051.909	2262.156	2264.054	1334.128	988.571	905.926	571.943	926.688	1015.265	1195.806	931.094	925.308	1099.273	1128.333	1172.538	1218.179	1340.789	2088.036	1220.189	931.838	1013.938	739.077	1177.769	757.938	774.667	1570.524	1384.441	761.481	1109.269	920.490	924.500	689.513	1022.976	726.750	1320.765	1059.432	879.233	733.656	1034.219	475.117
2141	893.841	969.971	870.902	3499.227	1189.000	1130.375	626.103	406.680	846.970	580.485	660.905	769.974	633.800	776.308	1806.781	1957.657	1210.062	1410.412	1081.160	1099.711	1962.147	871.933	1111.636	2529.200	2838.676	1424.821	1028.643	955.963	625.029	979.500	994.765	1206.226	990.969	930.692	1155.977	1217.810	1198.590	1301.036	1390.421	2122.364	1214.378	966.865	1009.000	785.077	1243.654	799.625	842.143	1502.857	1455.353	845.231	1076.154	969.373	935.062	834.243	1014.167	768.273	1331.059	1115.973	970.233	820.656	1095.844	527.167
2142	908.023	987.294	899.122	3443.773	1315.308	1143.156	650.872	433.720	844.849	581.667	650.929	759.897	577.040	738.750	1898.000	2000.057	1261.625	1415.059	1169.220	1123.756	1864.412	898.600	1115.242	2504.000	3297.243	1443.846	1032.786	982.185	625.857	962.375	998.618	1198.226	1008.906	953.462	1186.273	1259.143	1240.359	1314.214	1470.684	2044.146	1171.865	1016.054	1124.750	843.615	1519.038	822.281	840.381	1398.667	1458.353	867.404	1088.731	998.118	988.031	978.622	1012.262	780.068	1315.971	1167.108	979.367	855.719	1138.844	535.600
2143	898.682	979.441	892.488	3427.068	1571.231	1219.188	698.820	432.080	893.909	593.939	671.024	790.359	568.960	722.904	1943.756	2022.229	1364.938	1440.147	1094.340	1113.089	1786.823	881.778	1062.485	2314.378	3440.297	1422.410	1070.571	993.148	637.057	1055.031	940.971	1220.452	991.719	917.154	1160.273	1283.905	1241.333	1291.929	1370.579	1827.018	1088.027	1077.541	1096.125	865.923	1811.385	797.094	848.429	1329.429	1450.147	891.769	1053.192	1010.804	1026.281	1124.541	1007.548	859.250	1261.823	1146.757	1339.000	882.562	1116.531	538.900
2144	897.409	1026.500	883.463	3334.705	1535.846	1193.031	688.641	424.720	867.576	544.000	661.833	767.846	532.600	679.019	1990.244	2013.371	1323.875	1389.441	1020.660	1068.400	1650.794	883.733	1023.485	2154.044	3388.027	1396.692	1044.429	1005.482	650.914	1001.125	911.353	1148.968	928.312	885.385	1151.636	1208.643	1163.949	1201.179	1268.737	1649.091	1019.784	1267.432	1091.750	881.346	1925.192	769.750	808.857	1229.238	1422.765	824.538	1015.077	1016.490	978.875	1097.135	939.810	862.932	1149.735	1074.054	1277.800	817.656	1088.281	512.550
2145	881.068	1027.323	885.659	3271.659	1938.942	1168.969	692.897	443.680	874.788	521.485	655.595	773.154	529.880	661.788	2033.024	1981.343	1357.625	1425.382	959.880	1050.489	1537.147	886.067	1007.242	2048.178	3402.108	1358.744	1052.036	989.333	718.286	1016.781	893.882	1151.710	903.062	842.410	1136.364	1226.310	1191.026	1222.250	1212.000	1577.164	997.054	1416.027	1159.812	853.192	1761.154	771.250	823.048	1235.905	1435.323	822.250	1031.923	1035.510	993.531	1163.432	943.714	849.318	1091.029	1018.757	1294.700	863.969	1081.594	530.117
2146	856.909	1012.059	867.732	3181.273	2017.885	1164.062	688.205	427.280	863.849	511.424	659.286	745.513	491.920	636.404	1985.659	2006.143	1341.375	1435.735	920.580	1024.778	1459.059	888.622	967.455	2045.867	3514.487	1380.179	1089.571	974.556	702.971	977.094	886.441	1120.484	889.969	844.000	1112.341	1211.762	1123.051	1142.429	1179.632	1505.473	965.405	1694.541	1219.875	876.308	1718.615	767.875	814.952	1151.667	1443.941	791.769	1001.154	1030.588	984.125	1086.459	952.143	799.114	1071.823	1006.946	1230.233	850.375	1092.125	508.317
2147	848.682	1000.412	891.024	3118.227	2405.442	1141.031	682.820	435.280	860.091	496.091	663.024	729.103	487.880	635.038	1997.561	2009.886	1339.719	1412.853	872.100	1057.289	1406.735	882.089	964.727	1977.289	3480.406	1372.923	1105.000	966.963	741.200	977.312	876.176	1103.000	903.656	870.154	1129.500	1262.524	1148.974	1180.321	1192.263	1462.800	945.865	1797.973	1150.375	884.462	1588.346	760.188	779.190	1213.190	1409.677	789.423	961.423	1064.588	1008.906	1106.459	919.310	805.432	1025.323	998.946	1269.767	824.594	1051.094	496.983
2148	918.727	1019.412	894.390	3063.136	2444.308	1183.188	711.308	448.240	891.333	509.212	687.095	751.154	517.320	635.481	2031.317	2025.571	1364.875	1442.000	870.900	1077.022	1357.765	900.978	963.242	2024.000	3492.811	1399.462	1101.250	972.630	915.229	1044.250	861.118	1125.194	930.719	848.436	1132.773	1330.476	1152.179	1211.179	1244.684	1438.400	967.946	1813.135	1213.250	907.962	1541.885	761.562	813.857	1330.714	1461.500	831.538	1015.192	1063.627	1060.938	1120.676	954.286	846.977	989.794	1037.973	1279.767	886.875	1104.969	527.700
2149	923.341	1086.677	949.659	3027.295	2662.327	1206.406	729.205	461.960	926.212	548.788	692.167	765.205	532.520	663.365	2207.439	2139.657	1445.281	1511.265	959.980	1137.178	1353.000	946.978	1020.242	2051.778	3637.081	1434.487	1136.000	1007.630	949.257	1063.125	911.382	1211.548	974.312	904.103	1160.614	1484.381	1239.718	1250.857	1240.526	1425.491	973.324	1871.676	1164.188	940.462	1505.962	796.656	838.143	1436.143	1506.941	865.808	1084.538	1115.627	1049.875	1240.324	986.214	855.159	1018.941	1056.568	1440.867	958.531	1171.188	546.450
2150	911.818	1069.059	907.537	2930.773	2518.404	1188.156	724.000	460.720	875.394	510.879	669.738	752.820	528.760	645.712	2240.707	2116.914	1377.688	1511.618	934.060	1091.933	1315.118	921.022	974.849	1972.111	3697.784	1383.333	1096.607	973.259	936.829	1091.188	889.500	1198.742	922.312	860.436	1077.705	1416.857	1214.821	1251.750	1226.947	1402.291	963.351	1739.892	1184.375	936.615	1466.577	771.000	835.524	1480.857	1486.382	842.673	1033.308	1083.255	1048.969	1200.027	957.262	856.409	1009.824	1012.946	1377.067	928.000	1132.094	537.100
2151	972.295	1071.323	974.317	2660.477	2681.173	1206.406	757.744	488.800	1086.151	539.273	728.476	848.641	544.920	685.827	2242.000	2055.400	1356.750	1649.412	1005.660	1173.156	1415.382	974.356	1093.455	1835.000	3663.027	1718.769	1144.107	1036.852	920.143	1150.281	919.529	1343.710	983.594	919.487	1169.727	1515.714	1287.103	1272.250	1244.263	1396.582	1027.243	1866.216	1294.938	1066.538	1374.077	803.469	842.429	1555.619	1370.265	898.365	1140.269	1152.059	1081.781	1230.000	1086.571	891.636	1015.588	1126.216	1411.933	971.688	1227.406	543.967
2152	988.364	1173.677	1031.122	2784.955	2952.423	1232.031	772.256	488.360	975.758	656.030	778.167	891.923	552.040	709.885	2434.561	2429.543	1682.688	1579.794	1002.440	1187.022	1271.735	1010.533	1070.333	1959.578	4004.513	1549.026	1170.036	1100.667	1196.200	1271.531	956.559	1363.452	1039.969	954.385	1214.727	1595.905	1351.769	1386.893	1311.895	1522.109	1060.919	1906.189	1242.250	1196.231	1503.654	847.531	893.524	1636.429	1614.706	1025.404	1524.038	1244.941	1184.906	1292.108	1037.119	938.977	1052.677	1065.757	1664.667	1007.031	1309.250	605.833
2153	1014.477	1291.677	1016.049	2867.250	3266.308	1222.469	788.000	510.000	1046.576	722.061	785.310	921.308	541.280	709.962	2559.171	2513.971	1634.781	1592.265	1047.060	1196.689	1324.353	1012.733	1128.939	1878.044	4078.189	1545.974	1199.500	1084.926	1096.743	1263.469	983.206	1358.774	1075.750	952.769	1223.205	1624.571	1352.513	1365.250	1311.368	1408.418	1052.054	2304.351	1234.562	1212.192	1446.538	833.875	900.190	1527.667	1572.441	1021.442	1556.731	1295.373	1235.875	1312.081	1074.810	952.682	1055.147	1093.135	1815.967	1005.781	1322.125	592.050
2154	993.182	1212.441	987.293	2724.818	3236.981	1174.188	756.487	456.040	993.030	669.576	771.476	881.974	542.720	690.923	2496.488	2435.029	1619.812	1554.177	938.800	1156.222	1241.412	979.156	1087.455	1792.933	4052.946	1498.846	1158.107	1079.259	1219.371	1271.938	924.471	1332.903	1012.906	918.282	1194.341	1539.619	1280.436	1336.536	1284.211	1399.491	1019.595	2098.432	1175.312	1096.731	1397.962	853.438	882.714	1530.524	1555.412	941.769	1486.077	1218.627	1166.156	1269.730	1049.619	920.386	1006.941	1074.189	1687.600	923.438	1285.656	590.833
